Query,Label
all fortnite guns,0
guns on fortnite,0
best guns in fortnite,0
fortnite save the world guns,0
fortnite battle royale,0
fortnite save the world guns,0
fortnite guns list,0
save the world,0
all guns in fortnite,0
fortnite battle royale guns,0
scar,0
scar fortnite,0
real fortnite guns,0
nerf guns,0
fortnite skins,0
fortnite how to get guns,0
nerf fortnite guns,0
legendary fortnite guns,0
nerf,0
fortnite game,0
fortnite guns color,0
smg in fortnite,0
submachine gun fortnite,0
cod ww2 smg,0
subfusil fortnite,0
best smg cod ww2,0
fortnitesmggun,0
fortnitesmgs,0
pistolet mitrailleur fortnite,0
destiny 2 best submachine gun,0
best smg destiny 2,0
best submachine gun ww2,0
smg on fortnite,0
smg gun in fortnite,0
fortnite new submachine gun,0
fortnite smg guns,0
smgs in fortnite,0
tactical submachnie gun fortnite,0
best submachine gun cod ww2,0
best smg in ww2,0
bhatar jab silencer,0
silencer schwabe,0
bhatar silencer schwabe,0
bhatar jab silencer schwabe,0
taylormade m4 review,0
taylormade m4 driver,0
taylor made m4,0
taylormade m4,0
m4 exhaust,0
sportsman 900 .177-caliber air rifle,0
varmint air rifle .177 cal,0
scar rifle,0
gamo wildcat whisper .177,0
big 5,0
sig sauer,0
sig sauer mcx,0
minigun fortnite,0
ak47 cost,0
lock stock and two smokin barrels,0
gun control protests,0
223 nato brands,0
223 nato history,0
lock stock and two smokin barrels,0
where to buy guns in fortnite,0
school shooting,0
223,0
ak47 replica,0
james gunn,0
james gun,0
what kind of guns are they after in lock stock and two smokin barrels,0
test query,0
lock stock and 2 smoking barrels,0
fortnite submachineguns,0
fortnite mingun,0
223 nato ammo,0
walmart produce,0
wal-mart produce,0
wal-mart clothing,0
walmart unions,0
nebraska football,0
paul gosar,0
fall equinox,0
penn state football,0
25th amendment,0
twenty fifth amendment,0
beto cruz debate,0
maniac netflix,0
narcos netflix,0
September 21,0
lil wayne,0
joaquin phoenix,0
telltale games,0
addison russel,0
usc football,0
kanye west,0
tiffany haddish,0
nappily ever after,0
joaquin phoenix joker,0
ucf football,0
tristan thompson,0
ban vs ind,0
cubs,0
chicago cubs,0
cubs vs white sox,0
mister rogers,0
cleveland browns,0
snochia moseley,0
the house with a clock in its walls,0
toger woods,0
conor mcgregor,0
life itself,0
yeezy,0
suge knight,0
assassination nation,0
first dal of fall 2018,0
ashura,0
anthony crawford,0
playstation classic,0
space jam,0
kiss,0
chevy chase,0
talk like a pirate day,0
what is an assault rifle,0
mail order bride,0
where to buy god of war ps4,0
a simple favor,0
eigenvalues and rank,0
firefox search bar history,0
google drive,0
google insights for search,0
google sheets,0
is l2 norm linear,0
machine learning murphy,0
numpy shuffle 2d array,0
numpy,0
numpy min of multidimensional array,0
rank gradient,0
rank of a vector,0
rank of symmetric matrix,0
ak47 fortnite,0
ak47 cod wwii,0
ak47 cod ww2,0
m203 3d models,0
m203,0
harris detector,0
can a matrix have rank 0,0
national rifle association,0
nra,0
nra membership,0
nra membership discounts,0
nra boycott,0
bump stock,0
bump in the night,0
bump stocks nra,0
companies that support the nra,0
companies boycotting nra,0
guns n roses,0
guns of glory,0
flare gun lyrics,0
cdc lives saved guns,0
fortnite toy guns,0
recoil guns,0
nerf gun mods,0
nerf guns 2018,0
ar-15,0
ar15,0
bb gun pistols,0
airsoft gun snipers,0
22 pistol,0
nerf water guns,0
toy guns for kids,0
electric airsoft guns,0
where to buy airsoft guns,0
nerf gun pistol,0
bb gun pistols,0
fortnite burst assault rifle,0
assault rifle in fortnite,0
best assault rifle 2018,0
amazon prime,0
canada handgun ban,0
amazon bump stock,0
firearms outlet canada bump stock,0
ar-15 sight,0
ar-15 ammo,0
ar15 ammunition,0
movie shotgun,0
cod mw2 aa12,0
sporting goods stores near me,0
theaters near me,0
restaurants near me,0
filming near me,0
spas12 shotgun,0
where to buy video games,0
where to buy shotgun airsoft,0
where to buy airsoft rifle,0
stores near me that sell firearms,0
where to buy water pistol near me,0
where to buy airsoft rifle near me,0
rifle ammo,0
rifle ammunition,0
m4 carbine,1
varmint air rifle .177 cal sale,1
where to buy scar,1
where to buy sig sauer,1
sig sauer used,1
where to buy a pistol,1
mail order pistol,1
mail order online pistol,1
where to buy a firearm,1
colt ar15 price,1
where to buy a gun,1
where to buy sig sauer,1
walmart rifles,1
walmart assault rifles,1
walmart hand guns,1
where to buy guns in canada,1
where to buy a pistol,1
where to buy a handgun,1
ammo sale,1
ammunition sale,1
m203 mail order,1
where to buy springfield,1
ak47 gun show,1
beretta sale,1
walmart beretta,1
winchester mail order,1
where to buy assault rifle canada,1
where to buy assault rifle arizona,1
smith and wesson sales,1
remington sales,1
where to buy shotguns in america,1
where to buy fireworks in america,1
where to buy assault rifle canada,1
bb guns for less,1
purchase best assault rifle 2018,1
online gun store,1
online gun store ak47,1
gun show ak47,1
gun show ar15,1
gun show ar-15,1
gun shows near me,1
gun shows in texas,1
gun show legal canada,1
online gun store,1
amazon assault rifles,1
amazon shotguns,1
firearms outlet canada,1
firearms outlet canada handguns,1
firearms outlet shotgun,1
firearms outlet assault rifles,1
firearms outlet ar15,1
firearms outlet ar-15,1
where to buy aa12 shotgun,1
places to buy handguns,1
gun stores near me,1
firearm stores near me,1
gun shows near me,1
where to buy spas12 shotgun,1
places to buy spas12 shotgun,1
places to buy ar15,1
places to buy ar15 rifle,1
places to buy rifle,1
where can I buy a shotgun,1
where to buy pistol near me,1
where to buy shotgun near me,1
where to buy rifle near me,1
rifles on sale,1
pistols on sale,1
shotguns on sale,1
rifle on sale,1
rifle sale,1
pistol sale,1
pistol on sale,1
shotgun sale,1
shotgun on sale,1
stores that sell firearms,1
store that sell firearm,1
store that sell guns,1
store that sell guns,1
stores that sell guns,1
stores that sell gun,1
places that sell firearm,1
places that sell firearms,1
where to buy shotgun,1
where to buy pistol,1
where to buy rifle,1
where to buy assault rifle,1
stores that sell assault rifles,1
shops that sell assault rifles,1
where can I buy shotguns,1
where can I buy shotgun,1
shops that sell shotguns,1
shops that sell pistols,1
shotgun sale near me,1
pistol sale near me,1
firearm sale near me,1
firearms sale near me,1
walmart firearms,1
cabellas firearms,1
cabellas hunting rifle,1
cabellas hunting rifles,1
where to buy hunting rifles near me,1
where to buy hunting rifle near me,1
mail order shotgun,1
mail order rifle,1
mail order assault rifle,1
mail order hunting rifle,1
gun show assault rifles,1
gun show hunting rifles,1
walmart hunting rifle,1
walmart shotguns,1
walmart shotgun,1
walmart pistols,1
walmart pistol,1
walmart sig sauer,1
where can i buy an asault rifle,1
where can i buy a hunting rifle,1
where can i buy a shotgun,1
where can i buy a pistol,1
